Z,N,symbol, half_life_s, decaymode, decay %, unc, decaymode2, decay %
81,126,Tl,286.2,B-,100,,,
82,99,Pb,0.045,A,100,,,
82,101,Pb,0.535,A,90,,,
82,103,Pb,6.3,A,34,25,EC+B+,
82,104,Pb,4.81,EC+B+,60,8,A,40
82,105,Pb,15.2,EC+B+,90.5,2,A,9.5
82,106,Pb,25.5,EC+B+,91.5,0.5,A,8.5
82,107,Pb,39,EC+B+,100,,A,0.4
82,108,Pb,71,EC+B+,99.6,0.04,A,0.4
82,109,Pb,79.8,EC+B+,99.987,0.005,A,0.013
82,110,Pb,210,EC+B+,99.9941,0.0007,A,0.0059
82,111,Pb,,EC+B+,,,,
82,112,Pb,642,EC+B+,100,,A,0.0000073
82,113,Pb,900,EC+B+,100,,,
82,114,Pb,2220,EC+B+,100,,A,0.00003
82,115,Pb,486,EC+B+,100,,,
82,116,Pb,8640,EC+B+,100,,,
82,117,Pb,5400,EC+B+,100,,,
82,118,Pb,77400,EC,100,,,
82,119,Pb,33588,EC+B+,100,,,
82,120,Pb,1.65674E+12,EC,100,,,
82,121,Pb,186912,EC,100,,,
82,122,Pb,4.42E+24,A,,,,
82,123,Pb,5.36468E+14,EC,100,,,
82,124,Pb,1.00E+100,STABLE,,,,
82,125,Pb,1.00E+100,STABLE,,,,
82,126,Pb,1.00E+100,STABLE,,,,
82,127,Pb,11642.4,B-,100,,,
82,128,Pb,700563756.6,B-,100,,A,0.0000019
82,129,Pb,2166,B-,100,,,
82,130,Pb,38239.2,B-,100,,,
82,131,Pb,612,B-,100,,,
82,132,Pb,1623.6,B-,100,,,
82,133,Pb,147,B-,100,,,
83,103,Bi,0.0148,A,95.5,,EC+B+,4.5
83,104,Bi,0.037,A,100,,,
83,105,Bi,0.06,A,100,,,
83,106,Bi,0.688,A,100,,,
83,107,Bi,6.3,A,90,,EC+B+,10
83,108,Bi,12.4,A,51,10,EC+B+,49
83,109,Bi,34.6,EC+B+,88,5,A,12
83,110,Bi,63.6,EC+B+,96.5,1.5,A,3.5
83,111,Bi,95,EC+B+,99.54,0.25,A,0.46
83,112,Bi,183,EC+B+,99.97,0.02,A,0.03
83,113,Bi,308,EC+B+,100,,A,0.00115
83,114,Bi,559.8,EC+B+,100,,A,0.0001
83,115,Bi,618,EC+B+,100,,,
83,116,Bi,1620,EC+B+,100,,,
83,117,Bi,2184,EC+B+,100,,,
83,118,Bi,6180,EC+B+,100,,,
83,119,Bi,6156,EC+B+,100,,,
83,120,Bi,42336,EC+B+,100,,,
83,121,Bi,40392,EC+B+,100,,,
83,122,Bi,1288224,EC+B+,100,,,
83,123,Bi,539395.2,EC+B+,100,,,
83,124,Bi,995621014.5,EC+B+,100,,,
83,125,Bi,1.16129E+13,EC+B+,100,,,
83,126,Bi,6.34E+26,A,100,,,
83,127,Bi,433036.8,B-,100,,A,0.000132
83,128,Bi,128.4,A,99.724,0.004,B-,0.276
83,129,Bi,3633,B-,64.06,0.06,A,35.94
83,130,Bi,2735.4,B-,97.86,0.01,A,2.14
83,131,Bi,1182.6,B-,99.979,0.0013,A,0.021
83,132,Bi,456,B-,100,,,
83,135,Bi,33,B-,100,,,
84,103,Po,0.0014,A,100,,,
84,104,Po,0.00027,A,100,,,
84,105,Po,0.0035,A,100,,,
84,106,Po,0.00245,A,100,,,
84,107,Po,0.022,A,100,,,
84,108,Po,0.0322,A,99.5,,EC+B+,0.5
84,109,Po,0.399,A,100,,,
84,110,Po,0.392,A,93,7,EC+B+,7
84,111,Po,4.64,A,94,4,EC+B+,6
84,112,Po,5.8,A,98,,EC+B+,2
84,113,Po,84,EC+B+,56,7,A,44
84,114,Po,105.6,A,57,2,EC+B+,43
84,115,Po,328.2,EC+B+,92.5,0.3,A,7.5
84,116,Po,692.4,EC+B+,88.7,0.4,A,11.3
84,117,Po,930,EC+B+,98.87,0.03,A,1.13
84,118,Po,2670,EC+B+,98.08,0.07,A,1.92
84,119,Po,2202,EC+B+,99.89,0.02,A,0.11
84,120,Po,12668.4,EC+B+,99.33,0.03,A,0.67
84,121,Po,6264,EC+B+,99.96,0.012,A,0.04
84,122,Po,760320,EC+B+,94.55,0.05,A,5.45
84,123,Po,20880,EC+B+,99.979,0.002,A,0.021
84,124,Po,91451971.47,A,99.996,0.0004,EC+B+,0.004
84,125,Po,3913058821,A,99.546,0.007,EC+B+,0.454
84,126,Po,11955686.4,A,100,,,
84,127,Po,0.516,A,100,,,
84,128,Po,2.943E-07,A,100,,,
84,129,Po,0.000003706,A,100,,,
84,130,Po,0.00016346,A,100,,,
84,131,Po,0.001781,A,99.99977,0.00002,B-,0.00023
84,132,Po,0.145,A,100,,,
84,133,Po,1.53,A,95,,B-,5
84,134,Po,185.82,A,99.98,0.002,B-,0.02
85,106,At,0.0017,A,100,,,
85,107,At,0.088,A,100,,,
85,108,At,0.028,A,100,,,
85,109,At,0.286,A,100,,SF+EC+B+,0.8
85,110,At,0.29,A,100,,,
85,111,At,0.388,A,95.1,,EC+B+,4.9
85,112,At,0.388,A,96.1,1.2,EC+B+,3.9
85,113,At,4.2,A,90,10,EC+B+,10
85,114,At,7.03,A,90,5,EC+B+,10
85,115,At,43.1,A,52,4,EC+B+,48
85,116,At,87.6,A,71,7,EC+B+,29
85,117,At,184,EC+B+,88,7,A,12
85,118,At,444,EC+B+,69,3,A,31
85,119,At,547.2,EC+B+,96.09,0.16,A,3.91
85,120,At,1614,EC+B+,90,2,A,10
85,121,At,1836,EC+B+,99.1,0.08,A,0.9
85,122,At,6516,EC+B+,91.4,1,A,8.6
85,123,At,5868,EC+B+,99.45,0.06,A,0.55
85,124,At,19512,EC+B+,95.9,0.5,A,4.1
85,125,At,29160,EC+B+,99.825,0.02,A,0.175
85,126,At,25970.4,EC,58.2,0.08,A,41.8
85,127,At,0.314,A,100,,,
85,128,At,0.000000125,A,100,,,
85,129,At,0.000000558,A,100,,,
85,130,At,0.0001,A,100,,,
85,131,At,0.0003,A,100,,B-,0.006
85,132,At,0.0326,A,99.993,0.003,B-,0.007
85,133,At,1.28,A,99.95,0.05,B-,0.05
85,134,At,56,A,93.6,1,B-,6.4
85,135,At,222.6,B-,92,2,A,8
86,107,Rn,0.00115,A,100,,,
86,108,Rn,0.00078,A,100,,,
86,109,Rn,0.006,A,100,,,
86,110,Rn,0.0044,A,99.9,0.2,EC+B+,0.06
86,111,Rn,0.065,A,100,,,
86,112,Rn,0.065,A,,,EC+B+,
86,113,Rn,0.59,A,94,,EC+B+,6
86,114,Rn,1.03,A,86,,EC+B+,14
86,115,Rn,7,EC+B+,,,A,
86,116,Rn,9.7,A,78,8,EC+B+,22
86,117,Rn,44.2,A,66,9,EC+B+,34
86,118,Rn,74.5,A,72.4,0.9,EC+B+,27.6
86,119,Rn,170,EC+B+,75.4,0.9,A,24.6
86,120,Rn,340.2,A,62,3,EC+B+,38
86,121,Rn,555,EC+B+,79,3,A,21
86,122,Rn,1461,A,62,7,EC+B+,38
86,123,Rn,1728,EC+B+,83,2,A,17
86,124,Rn,8640,A,96,1,EC+B+,4
86,125,Rn,52560,EC,72.6,1.7,A,27.4
86,126,Rn,1434,A,100,,,
86,127,Rn,0.0194,A,100,,,
86,128,Rn,0.000000259,A,100,,,
86,129,Rn,0.0000023,A,100,,,
86,130,Rn,0.000045,A,100,,,
86,131,Rn,0.00054,A,100,,,
86,132,Rn,0.03375,A,100,,,
86,133,Rn,3.96,A,100,,,
86,134,Rn,55.6,A,100,,,
86,135,Rn,1500,B-,78,1,A,22
86,136,Rn,330238.08,A,100,,,
86,137,Rn,1458,B-,100,,,
86,139,Rn,279.6,B-,100,,,
87,113,Fr,0.0496,A,97.5,,EC+B+,2.5
87,114,Fr,0.063,A,100,,,
87,115,Fr,0.372,A,100,,EC+B+,
87,116,Fr,0.55,A,100,,,
87,117,Fr,1.8,A,92,2,EC+B+,8
87,118,Fr,3.9,A,98.5,0.4,EC+B+,1.5
87,119,Fr,16,A,84,,EC,16
87,120,Fr,14.8,A,95,2,EC+B+,5
87,121,Fr,59.1,A,89,3,EC+B+,11
